ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
978-0-9625999-1-0,Organic neutral algorithm,George Jones,Fiction,2004,1,2018-12-16,Checked Out,True
978-1-372-26386-6,Customizable maximized budgetary management,Mrs Alison Peacock,Non-Fiction,1964,5,2021-04-08,Available,True
9781817810525,Innovative secondary Graphic Interface,Barbara Sinclair,Non-Fiction,2023,10,2025-03-07,Damaged,True
978-1-4211-3579-3,Object-based background function,Stephanie Brown-Mills,Children,1994,8,2021-08-17,Damaged,True
978-1-315-22791-7,Customizable 24/7 service-desk,Carl Williams,Reference,1958,10,2019-03-12,Missing,True
978-1-5302-0068-9,User-friendly impactful utilization,Ms Barbara Pope,Fiction,1955,4,2018-10-25,Available,True
978-1-224-70428-8,Implemented motivating functionalities,Lisa Lawson,Children,2016,9,2020-08-10,Checked Out,True
978-1-08-932008-1,Intuitive user-facing solution,Maurice West,Non-Fiction,1977,5,2020-03-18,Checked Out,True
978-0-932694-46-1,Integrated directional attitude,Samantha Fox,Reference,2003,10,2023-03-04,Damaged,True
978-0-9765835-7-8,Customizable secondary standardization,Elliot Miller,Fiction,1962,3,2017-02-21,Missing,True
9781997934837,Enhanced non-volatile extranet,John Hughes,Children,1990,0,2017-03-10,Available,True
978-0-7501-7754-2,Organized grid-enabled alliance,Josephine Wallis,Non-Fiction,1993,7,2019-12-19,Checked Out,True
978-1-7366409-6-8,Realigned 24hour budgetary management,Laura Brown,Reference,1951,1,2021-06-12,Available,True
978-1-04-765954-3,Horizontal 5thgeneration open architecture,Ricky Knight,Fiction,1973,4,2024-08-15,Reserved,True
978-1-219-30418-9,Ameliorated multi-state projection,Ashleigh Daniels-Moran,Young Adult,1962,8,2015-12-15,Available,True
978-1-208-73843-8,Devolved composite attitude,Dr Megan Pearson,Children,2021,0,2018-10-01,Damaged,True
978-1-68252-381-0,Mandatory zero administration forecast,Carl Austin,Fiction,1987,9,2022-10-28,Missing,True
978-1-75538-350-1,Optional grid-enabled solution,Deborah Barrett-Allen,Reference,1964,3,2016-02-01,Damaged,True
978-1-4329-7920-1,Enterprise-wide web-enabled challenge,Helen Clements,Children,1954,5,2018-02-18,Reserved,True
978-0-322-88897-5,Centralized systematic contingency,Charlie Holland,Fiction,2023,1,2022-02-18,Missing,True
978-0-610-84106-4,Virtual optimal protocol,Louis Jones-Graham,Non-Fiction,2023,6,2019-02-26,Missing,True
978-0-86377-364-8,Digitized bifurcated intranet,Mohammed Edwards,Young Adult,1960,8,2024-07-07,Damaged,True
978-0-280-43691-1,Organic user-facing frame,Mr Kenneth Naylor,Young Adult,1959,7,2016-04-24,Available,True
978-0-918098-17-7,Innovative foreground groupware,Gary Edwards-Clements,Reference,1951,10,2022-03-01,Reserved,True
978-0-04-102336-7,Visionary cohesive open architecture,Miss Hannah Rees,Reference,1968,9,2024-08-05,Checked Out,True
978-1-70389-313-7,Total stable interface,Callum Jackson,Non-Fiction,2021,5,2023-11-02,Available,True
978-1-71688-972-1,Reverse-engineered solution-oriented definition,Abbie Holland,Young Adult,1962,9,2016-03-04,Damaged,True
978-1-5405-7448-0,Pre-emptive 3rdgeneration definition,Luke Booth,Fiction,1969,9,2020-10-02,Checked Out,True
978-1-74907-923-6,Digitized multi-tasking hub,Elaine Ball,Non-Fiction,1967,1,2018-04-08,Checked Out,True
978-0-05-762072-7,Networked incremental portal,Helen Shaw,Children,2023,5,2022-12-14,Checked Out,True
978-0-18-625395-7,Networked didactic paradigm,Annette Powell-Bird,Non-Fiction,1955,9,2017-02-13,Reserved,True
978-1-909342-69-9,Vision-oriented cohesive installation,Natasha Smith,Fiction,1956,3,2021-05-24,Damaged,True
978-1-105-45896-5,Advanced asymmetric policy,Frances Price,Fiction,2010,7,2023-08-19,Reserved,True
978-1-75668-073-9,Integrated global standardization,Bernard Lee-Brown,Reference,2021,5,2016-10-29,Damaged,True
978-1-55026-472-2,Devolved dedicated archive,Chelsea Davies-Pearson,Non-Fiction,2007,4,2016-03-30,Missing,True
9781657966758,Programmable attitude-oriented solution,Leanne Wilson,Fiction,1999,6,2018-09-30,Available,True
978-1-76236-966-6,Synergistic dynamic knowledge user,Allan Baldwin,Fiction,1973,6,2025-06-06,Checked Out,True
978-1-59776-740-8,Function-based regional hardware,Mr Joe Pearson,Fiction,1979,0,2025-01-09,Damaged,True
978-1-191-15565-6,Enhanced reciprocal circuit,Albert Duffy,Reference,1997,1,2022-02-01,Damaged,True
978-0-480-46779-1,Face-to-face dedicated open architecture,Eileen Cook,Children,2012,10,2023-02-01,Available,True
978-1-86263-141-0,Focused foreground synergy,Alison Conway,Non-Fiction,1964,1,2021-11-03,Missing,True
978-0-412-01190-0,Networked modular matrix,Lynne Dunn,Young Adult,1956,10,2017-07-13,Available,True
978-1-4761-1558-0,Upgradable executive paradigm,Shane Read,Reference,1960,1,2020-11-08,Checked Out,True
978-0-08-110521-4,Down-sized empowering adapter,Shane Davison,Non-Fiction,1978,3,2019-11-28,Available,True
9780986645334,Programmable dedicated knowledgebase,Clare Lees,Non-Fiction,1991,5,2023-11-01,Missing,True
978-1-60310-777-8,Ergonomic secondary hub,Elaine Whitehead,Reference,2013,9,2018-06-03,Checked Out,True
978-1-127-57988-4,Advanced context-sensitive knowledgebase,Mr Matthew Flynn,Fiction,2004,2,2024-04-01,Checked Out,True
978-1-251-20987-9,Multi-channeled global function,Marc Morley-Edwards,Fiction,1986,10,2015-11-21,Reserved,True
978-1-870128-08-7,Persevering 5thgeneration core,Carol Murray-Shaw,Reference,2005,8,2019-09-14,Missing,True
978-0-01-083015-6,Ergonomic global system engine,Elliott Khan,Reference,1963,0,2023-08-27,Missing,True
9780560886382,Switchable executive artificial intelligence,Alex Davidson,Young Adult,1963,9,2021-03-24,Damaged,True
978-1-4746-9057-7,Reduced composite encryption,Joyce Chandler,Reference,1956,4,2023-06-29,Reserved,True
978-1-76853-893-6,Ergonomic fresh-thinking implementation,Diana Phillips,Fiction,1994,2,2021-11-13,Available,True
978-1-86318-927-9,Programmable homogeneous process improvement,Dr Russell Lewis,Fiction,1968,0,2023-01-04,Checked Out,True
978-1-379-95688-4,Automated upward-trending model,Dr Marion Stone,Young Adult,1950,8,2016-12-19,Available,True
978-0-487-86480-7,Decentralized actuating groupware,Gail Green,Young Adult,1985,1,2018-08-18,Missing,True
978-1-4102-2058-5,Front-line fresh-thinking paradigm,Dr Elliott Jones,Fiction,1982,4,2021-04-24,Damaged,True
978-0-526-27382-9,Organic hybrid adapter,Dr Karen Simmons,Fiction,2019,1,2019-06-12,Missing,True
978-0-7926-1198-1,Triple-buffered analyzing portal,Dr Charlie Campbell,Young Adult,1963,4,2023-08-28,Available,True
978-0-323-67365-5,Synergized eco-centric success,Hannah Myers,Reference,1980,4,2025-09-12,Damaged,True
978-0-11-120272-2,Enhanced bifurcated infrastructure,Janet Jones,Reference,1991,4,2022-06-22,Reserved,True
9780892733408,Robust transitional groupware,Joe Smith,Reference,1995,0,2018-09-09,Damaged,True
978-0-266-24299-4,User-friendly interactive implementation,Mr Bryan Brown,Fiction,1992,8,2024-03-30,Available,True
978-0-663-38912-4,Digitized multi-tasking algorithm,Lucy West,Young Adult,1966,7,2022-03-17,Reserved,True
978-1-09-314173-3,Team-oriented dynamic info-mediaries,Tracy Henry,Children,2000,6,2017-12-16,Missing,True
978-1-5497-5152-3,Front-line zero administration moderator,Ronald Moore,Reference,1978,10,2020-03-06,Missing,True
978-0-671-32237-3,Triple-buffered value-added adapter,John Young,Reference,1994,9,2016-10-30,Available,True
978-1-4439-0153-6,Face-to-face object-oriented groupware,Nathan Bryant,Young Adult,1983,2,2025-02-18,Missing,True
978-1-5090-1281-7,Profit-focused fault-tolerant projection,Mr Elliott Cooper,Children,1960,4,2019-02-13,Checked Out,True
978-0-00-679913-9,Horizontal incremental open architecture,Michael Palmer-Roberts,Reference,1952,4,2019-08-16,Missing,True
978-0-217-47267-8,Enterprise-wide didactic framework,Mr Charlie Powell,Children,2008,10,2024-12-20,Damaged,True
978-1-275-38668-6,Right-sized system-worthy matrix,Matthew Fleming-Martin,Young Adult,1972,5,2023-01-26,Checked Out,True
978-0-8089-3169-0,Profit-focused client-driven toolset,Rachael Allen,Reference,1986,7,2023-07-05,Damaged,True
978-0-420-56680-5,Persevering directional help-desk,Mr Joe Price,Young Adult,1960,9,2025-05-25,Reserved,True
978-0-9805303-6-0,Decentralized 24/7 adapter,Aimee Williams-Parkinson,Non-Fiction,1955,1,2015-12-26,Damaged,True
978-0-00-199500-0,Secured next generation synergy,Graham Byrne,Children,2013,2,2024-07-03,Missing,True
978-1-167-52059-4,Fully-configurable well-modulated superstructure,Dr Wayne Ferguson,Young Adult,1965,7,2024-03-18,Reserved,True
978-0-9742474-2-7,Streamlined fresh-thinking moratorium,Anthony Johnson,Young Adult,2016,5,2021-08-05,Missing,True
978-1-4651-9846-4,Synergized holistic implementation,Victoria Fitzgerald,Fiction,1967,10,2016-01-30,Damaged,True
978-0-88894-897-7,Realigned reciprocal framework,Rita Wong,Non-Fiction,2007,6,2020-09-21,Available,True
978-0-528-82808-9,Diverse didactic attitude,Alison Chambers-Carr,Fiction,1999,6,2016-03-01,Checked Out,True
978-1-200-29890-9,Implemented cohesive secured line,Mrs Kayleigh Jones,Reference,2001,6,2017-07-07,Available,True
978-0-467-09978-6,User-friendly full-range projection,Marion Bruce,Non-Fiction,1989,9,2016-06-16,Missing,True
978-0-17-888816-7,Stand-alone contextually-based infrastructure,Dr Irene Buckley,Non-Fiction,1984,6,2018-06-20,Missing,True
978-0-338-44461-5,Cross-group logistical open system,Sam Atkins-Wood,Reference,2002,7,2025-01-05,Available,True
978-0-17-049441-0,Multi-lateral content-based info-mediaries,Pamela Goodwin,Fiction,2000,5,2016-07-02,Damaged,True
978-0-321-81670-2,Innovative optimal benchmark,Dr Michelle Brown,Non-Fiction,2013,7,2016-05-14,Reserved,True
978-0-607-68516-9,Implemented value-added approach,Phillip Hussain,Fiction,1970,1,2025-10-06,Reserved,True
978-1-84451-282-9,Polarized zero tolerance challenge,Callum James,Young Adult,1966,3,2024-09-20,Available,True
978-0-664-97248-6,User-friendly dynamic utilization,Sally Roberts,Non-Fiction,1991,2,2018-12-31,Reserved,True
978-1-913375-99-7,Visionary dedicated definition,Shannon Greenwood-Birch,Non-Fiction,1975,5,2025-07-07,Checked Out,True
978-1-169-46756-9,Realigned zero-defect pricing structure,Joseph Banks,Children,1999,0,2022-01-25,Available,True
978-1-76807-257-7,Switchable object-oriented intranet,Mrs Barbara Green,Reference,1991,8,2023-03-30,Missing,True
978-0-676-21360-7,Optional client-server pricing structure,Carolyn Wright-Hudson,Children,1999,1,2020-06-07,Damaged,True
9781245576994,Reduced national throughput,Charles Townsend,Non-Fiction,1963,5,2022-01-10,Available,True
978-0-363-99601-1,Integrated encompassing methodology,Shannon Watson,Children,1969,0,2023-03-09,Reserved,True
978-1-194-45959-1,Object-based attitude-oriented firmware,Cheryl Lawrence,Non-Fiction,1992,3,2020-04-29,Available,True
978-0-8412-6405-2,Fully-configurable high-level challenge,Jamie Gray,Non-Fiction,1965,8,2017-02-17,Reserved,True
978-1-9730-5721-5,Profound intermediate focus group,Ms Emily Moss,Children,2002,0,2016-09-15,Reserved,True
978-0-7499-3945-8,Stand-alone cohesive concept,Owen Watson,Reference,1979,4,2023-09-26,Checked Out,True
9781547006885,Pre-emptive disintermediate website,Paul Johnson-Barker,Non-Fiction,1969,2,2019-12-16,Available,True
978-0-563-36409-2,Organized incremental circuit,Mr Ross Cunningham,Fiction,1960,2,2022-05-21,Missing,True
9781310968723,Multi-layered exuding analyzer,Louis Moran,Children,1983,3,2018-04-22,Available,True
978-1-82043-281-3,Devolved maximized matrix,Victoria Davey,Children,1959,4,2023-05-05,Available,True
978-0-7894-3788-4,Phased cohesive flexibility,Kate Stone,Reference,2012,8,2023-08-07,Checked Out,True
978-0-650-58095-4,Extended bi-directional interface,Beverley Parker-Morrison,Children,1975,10,2022-02-12,Damaged,True
978-1-340-73284-4,Monitored homogeneous moratorium,Tom Allen,Young Adult,2019,2,2017-03-21,Reserved,True
978-1-108-22819-0,Future-proofed analyzing data-warehouse,Pamela Pearce,Fiction,1969,1,2020-08-01,Available,True
978-0-367-83588-0,Horizontal global focus group,Andrew Davies,Young Adult,2017,2,2019-11-20,Checked Out,True
978-0-8231-1967-7,Vision-oriented transitional infrastructure,Bradley Price,Fiction,1977,7,2022-06-13,Missing,True
978-0-566-38828-6,Down-sized contextually-based knowledge user,Suzanne Begum,Reference,2016,1,2024-08-18,Missing,True
978-1-77308-429-9,Profit-focused foreground approach,Gerald Thomas,Fiction,1951,0,2017-03-08,Missing,True
978-0-04-636320-8,Cross-group grid-enabled framework,Mrs Emily Ford,Young Adult,1969,4,2023-02-05,Checked Out,True
978-0-286-73194-2,Upgradable bottom-line productivity,Gerard Wong,Young Adult,1994,7,2023-12-06,Missing,True
978-1-5118-5802-1,Adaptive contextually-based projection,Joanne Duncan,Reference,2005,3,2023-08-03,Reserved,True
978-0-8096-1249-9,Distributed analyzing budgetary management,Kieran Reid,Children,2014,7,2019-01-11,Damaged,True
978-0-09-806572-3,Polarized content-based model,Jane Sanderson,Children,1994,2,2019-03-02,Damaged,True
978-1-63245-405-8,Face-to-face intermediate ability,Miss Kirsty O'Sullivan,Non-Fiction,1988,8,2023-04-24,Missing,True
978-0-9852177-2-3,Sharable non-volatile Internet solution,Sharon Whitehead,Reference,1968,3,2018-01-19,Damaged,True
978-1-71844-617-5,Ergonomic client-driven knowledge user,Lesley Payne-Williams,Non-Fiction,1990,4,2023-01-17,Reserved,True
978-1-4001-8476-7,Networked optimal policy,Dr Neil Ward,Non-Fiction,1966,10,2019-07-17,Reserved,True
978-0-240-84765-8,Total coherent algorithm,Dr Karl Coleman,Non-Fiction,1991,1,2022-08-24,Available,True
978-0-8038-8143-3,Persevering bi-directional approach,Katherine Graham-Birch,Young Adult,2017,10,2016-05-20,Missing,True
978-0-07-507975-0,Vision-oriented client-server complexity,Mr Julian Lowe,Non-Fiction,2020,0,2019-11-29,Reserved,True
978-1-4818-9301-5,Open-architected dedicated solution,Robin Kerr,Fiction,1981,4,2025-04-23,Reserved,True
978-1-336-18913-3,Intuitive global policy,Dr Justin Murphy,Children,1979,8,2020-06-08,Missing,True
978-0-8414-7623-3,Profound 5thgeneration complexity,Dr Jacqueline Gill,Non-Fiction,2015,7,2021-09-22,Checked Out,True
978-0-86771-641-2,Programmable bottom-line firmware,Mrs Pamela Young,Fiction,1983,7,2022-07-08,Damaged,True
978-0-936322-80-3,User-centric stable concept,Francis Foster,Young Adult,2005,6,2020-11-21,Damaged,True
978-0-472-09673-2,Public-key uniform interface,Dr Debra Townsend,Fiction,2018,2,2020-02-04,Missing,True
978-1-67039-274-9,Secured radical artificial intelligence,Megan Singh-Smith,Reference,2013,4,2025-04-29,Reserved,True
978-0-530-83360-6,Customer-focused explicit interface,Dr William Dodd,Reference,2007,1,2016-08-11,Checked Out,True
978-1-03-224891-2,Front-line homogeneous alliance,Alison Patterson-Ward,Fiction,2010,5,2020-04-10,Checked Out,True
978-1-394-08192-9,Proactive full-range middleware,Dr Owen Reynolds,Fiction,1977,6,2017-05-09,Missing,True
9781947922709,Configurable optimizing collaboration,Jill Patel-Evans,Children,1974,1,2018-12-06,Reserved,True
978-0-371-19351-8,Persistent 4thgeneration neural-net,William Sanderson,Non-Fiction,2000,2,2016-04-24,Available,True
978-1-03-761352-4,Horizontal coherent neural-net,Shirley Jackson,Fiction,2011,4,2018-07-15,Available,True
978-1-55427-244-0,Sharable leadingedge hardware,Mr Dylan Lee,Children,1983,3,2021-05-01,Available,True
978-0-14-829237-6,Seamless contextually-based hierarchy,Mitchell Elliott,Fiction,1951,6,2022-07-12,Available,True
978-1-5066-0116-8,Monitored global moderator,Miss Sophie Reeves,Children,1986,5,2025-07-15,Checked Out,True
9780555818008,Operative impactful projection,Eleanor Davison,Reference,1998,4,2022-08-16,Reserved,True
978-1-213-60084-3,Upgradable uniform data-warehouse,Andrew Bell,Young Adult,1989,4,2024-10-29,Checked Out,True
978-0-9937823-6-7,Reduced tangible budgetary management,Sylvia Davies,Non-Fiction,1958,9,2023-01-14,Missing,True
978-1-219-16309-0,Customizable intermediate groupware,Anna Dunn,Young Adult,1962,1,2016-02-04,Reserved,True
978-0-15-357009-4,Expanded full-range migration,Simon Jones,Non-Fiction,1979,3,2016-05-15,Reserved,True
978-0-05-550187-5,Progressive optimal access,Jill Rose,Reference,2007,2,2017-08-27,Missing,True
978-0-325-54334-5,Robust composite software,Mr Nicholas Berry,Young Adult,2009,0,2016-08-14,Available,True
978-1-302-58330-9,Extended impactful product,Alice Kirk,Fiction,1955,3,2025-08-09,Reserved,True
978-0-474-47309-8,Sharable uniform migration,Elizabeth Bull,Non-Fiction,1987,4,2024-03-07,Missing,True
978-0-87667-845-9,Expanded dedicated frame,Victor Bates,Reference,2013,5,2018-03-17,Missing,True
978-1-370-11803-8,Exclusive user-facing initiative,Mr Timothy Gilbert,Children,2020,6,2020-08-04,Available,True
978-0-605-03351-1,Customizable hybrid encoding,Dr Ricky Mitchell,Reference,2017,8,2024-03-06,Available,True
978-1-362-53034-3,Switchable solution-oriented capacity,Dr David Thompson,Young Adult,2015,6,2024-02-21,Available,True
978-0-699-27287-2,Assimilated clear-thinking contingency,Derek Morris,Non-Fiction,1964,5,2015-12-12,Missing,True
978-1-110-29394-0,Advanced object-oriented time-frame,Dr Edward Fletcher,Reference,1969,7,2024-04-28,Missing,True
978-1-4598-1713-5,Automated directional complexity,Liam McKenzie,Children,1977,7,2018-09-14,Damaged,True
9780138433215,Visionary dynamic emulation,Mr Robert Willis,Non-Fiction,2015,2,2018-09-04,Damaged,True
978-1-60302-930-8,Reduced global middleware,Danny Clayton,Children,2024,0,2017-06-25,Checked Out,True
978-1-200-25569-8,Extended attitude-oriented migration,Mrs Marion Cole,Non-Fiction,1965,2,2018-01-04,Checked Out,True
978-1-387-44373-4,Adaptive grid-enabled emulation,Dr Emily Curtis,Non-Fiction,1979,9,2019-12-03,Reserved,True
978-0-9763252-7-7,Switchable dynamic portal,Alex Jones,Children,2021,0,2023-06-28,Damaged,True
978-0-914203-75-9,Vision-oriented hybrid pricing structure,Charlotte James-Smith,Fiction,1987,7,2024-02-22,Checked Out,True
978-0-398-87842-9,Seamless holistic encoding,Oliver Atkinson-Hall,Fiction,1989,8,2020-12-05,Checked Out,True
978-0-8408-8856-3,Synergistic directional middleware,Katie Slater,Young Adult,2021,7,2023-07-25,Reserved,True
978-0-200-41648-1,Total high-level strategy,Sheila Parsons,Young Adult,2010,7,2024-05-07,Reserved,True
978-1-03-218703-7,Seamless high-level superstructure,Charlene French,Fiction,2008,0,2024-06-16,Checked Out,True
978-0-359-40216-8,Re-engineered needs-based solution,Kirsty Fisher,Young Adult,1999,6,2018-01-22,Reserved,True
978-0-622-44626-4,Managed high-level installation,Shannon King,Young Adult,1951,0,2022-05-09,Damaged,True
978-0-551-72748-9,Implemented logistical policy,Colin Jones,Young Adult,1967,2,2024-09-02,Missing,True
978-1-61735-360-4,Operative tertiary middleware,Donna Morley-Davies,Non-Fiction,1965,2,2020-01-03,Missing,True
978-1-09-126028-3,Persevering scalable application,Rosemary Peacock,Non-Fiction,1965,9,2016-11-10,Checked Out,True
978-1-80232-586-7,Re-contextualized regional workforce,Conor Cross,Reference,2003,8,2016-05-27,Checked Out,True
978-1-84894-654-5,Compatible tangible architecture,Valerie Turner,Young Adult,2021,4,2017-07-12,Damaged,True
978-1-06-913821-7,Phased transitional complexity,Graeme Webster-Connor,Non-Fiction,2004,4,2016-07-22,Checked Out,True
978-1-78239-675-8,Optional uniform knowledgebase,Miss Eileen Harris,Reference,1976,3,2024-09-03,Available,True
9780787855970,Customizable attitude-oriented throughput,Dylan Howe,Children,1996,10,2022-09-26,Missing,True
978-0-87063-378-2,Persevering empowering intranet,Carolyn Ali,Young Adult,2022,2,2023-07-14,Available,True
978-0-681-36159-1,Face-to-face impactful function,Jodie Marshall,Young Adult,2001,10,2017-02-12,Damaged,True
978-0-07-495962-6,User-centric even-keeled array,Adrian Woodward,Fiction,1984,8,2017-03-19,Reserved,True
978-0-231-41421-0,Monitored multi-state circuit,Miss Kerry Newman,Non-Fiction,1962,2,2022-08-20,Checked Out,True
978-1-343-82500-0,Progressive upward-trending implementation,Josh Lyons,Children,1983,3,2021-08-31,Reserved,True
978-1-103-41594-6,Versatile regional time-frame,Mr Abdul Kay,Reference,1985,9,2021-08-01,Missing,True
9780527060770,Stand-alone upward-trending projection,Valerie Foster,Fiction,1964,8,2020-07-27,Reserved,True
978-0-369-17032-3,Integrated context-sensitive contingency,Jean Rees,Young Adult,1994,1,2020-05-18,Checked Out,True
978-0-11-700524-2,Intuitive regional infrastructure,Dorothy Jennings,Children,1973,1,2017-05-17,Available,True
978-0-7209-8402-6,Organic zero-defect alliance,Gerard Dixon,Young Adult,1980,7,2025-09-16,Missing,True
978-0-11-997178-1,Operative uniform contingency,Dr Rita Brady,Fiction,2010,0,2019-06-19,Reserved,True
978-1-886465-04-6,Virtual fresh-thinking implementation,Gordon Burgess,Reference,1978,6,2023-04-05,Reserved,True
978-1-367-49281-3,Progressive methodical archive,Mr Denis Lawson,Reference,1962,1,2022-11-11,Damaged,True
978-1-4313-3112-3,Synergized mobile synergy,Marion Atkinson,Children,2024,5,2018-08-23,Reserved,True
978-1-83990-497-4,Robust transitional array,Alice Thomas,Reference,1997,9,2017-11-18,Reserved,True
978-0-618-50297-4,Open-architected leadingedge application,Dr Scott Bird,Non-Fiction,1959,9,2015-11-05,Checked Out,True
978-0-577-61406-0,Reduced user-facing collaboration,Mrs Gemma Ward,Young Adult,2023,3,2017-04-30,Available,True
978-0-574-08851-2,Organic fault-tolerant firmware,Donna Hunt-Smith,Non-Fiction,2002,3,2023-05-28,Damaged,True
978-1-82355-263-1,Persevering demand-driven encryption,Robert Scott,Children,2023,7,2019-08-14,Checked Out,True
9781799890430,Public-key system-worthy array,Rebecca Frost,Young Adult,2001,7,2016-11-10,Damaged,True
978-1-07-614048-7,Optimized motivating Local Area Network,Lydia Williams,Reference,2013,7,2016-05-17,Damaged,True
978-0-8210-9200-2,Secured bi-directional budgetary management,Sylvia Atkinson-Foster,Children,2022,3,2016-12-14,Reserved,True
978-1-09-894793-4,Seamless multi-state project,Hollie Cooper,Reference,2004,1,2025-07-02,Checked Out,True
978-0-610-96033-8,Programmable upward-trending collaboration,Mr Maurice Baker,Children,1961,7,2021-04-23,Reserved,True
978-0-353-75572-7,Persistent system-worthy alliance,Ms Frances Saunders,Reference,1959,9,2022-04-16,Reserved,True
9780069657766,Pre-emptive upward-trending throughput,Abdul Johnston,Non-Fiction,2021,0,2020-10-29,Missing,True
978-0-08-483972-7,Adaptive 6thgeneration infrastructure,Phillip Kelly-Richards,Reference,1988,2,2020-01-22,Damaged,True
978-1-74893-670-7,Optional value-added architecture,Bruce Baker,Young Adult,1966,3,2020-09-22,Checked Out,True
978-0-03-814043-5,Realigned needs-based ability,Stacey Baker,Reference,1951,10,2016-06-26,Damaged,True
978-0-583-53485-7,Streamlined next generation frame,Mr Roger Mills,Young Adult,1964,5,2016-06-21,Available,True
978-1-84376-018-4,User-friendly dedicated contingency,Dr Shane Davies,Fiction,1962,1,2020-11-24,Available,True
9781953524690,Ergonomic web-enabled software,Mrs Danielle Carter,Non-Fiction,1963,5,2017-08-15,Reserved,True
978-1-01-939589-9,Profound attitude-oriented strategy,Conor Wood-Smith,Reference,1950,4,2017-08-24,Reserved,True
978-1-74342-595-4,Self-enabling asynchronous complexity,Ashleigh Ahmed,Non-Fiction,1975,6,2021-08-11,Reserved,True
978-0-8210-6286-9,Reactive grid-enabled challenge,Bethan Thomas,Young Adult,1970,1,2022-10-26,Reserved,True
978-1-901325-70-6,Stand-alone well-modulated framework,Patricia James-Bond,Reference,1951,1,2017-04-08,Available,True
978-0-259-58885-6,Inverse leadingedge database,Jamie Butler,Reference,2000,1,2018-06-17,Damaged,True
978-0-85502-625-7,Reverse-engineered reciprocal budgetary management,Annette Hunt-Burke,Children,2008,9,2024-03-17,Available,True
978-0-9595691-7-9,Diverse 24/7 leverage,Catherine Williams,Children,2023,1,2020-08-23,Reserved,True
978-1-363-01527-6,Polarized dedicated Local Area Network,Kayleigh James-Green,Young Adult,1978,8,2021-02-05,Available,True
978-1-890529-18-5,Horizontal explicit application,Mark Long,Young Adult,2008,9,2025-05-31,Missing,True
978-1-878257-31-4,Extended 3rdgeneration conglomeration,Lauren Andrews,Young Adult,2009,10,2020-04-23,Checked Out,True
978-1-4053-3401-3,Operative even-keeled utilization,Dr Abdul Hunter,Young Adult,2007,2,2022-06-05,Available,True
978-0-933719-86-6,Multi-channeled motivating functionalities,Claire Clarke,Reference,2000,1,2024-08-13,Available,True
978-1-65481-932-3,Down-sized 3rdgeneration utilization,Dr Joshua Ingram,Non-Fiction,1974,7,2022-08-18,Checked Out,True
978-0-917798-79-5,Intuitive 3rdgeneration framework,Stanley Harrison,Young Adult,1989,3,2015-11-24,Checked Out,True
978-0-250-17759-2,Compatible maximized software,Teresa Berry-Thomas,Fiction,1996,8,2021-10-14,Damaged,True
978-0-936044-70-5,Persistent uniform system engine,John Burton,Reference,2022,7,2016-04-17,Checked Out,True
978-1-965273-98-2,Fully-configurable asynchronous superstructure,Tracy Chandler,Children,1996,9,2019-01-14,Damaged,True
978-0-18-987016-8,Distributed systemic frame,Scott Phillips,Fiction,1996,5,2016-06-27,Damaged,True
978-0-370-34084-5,Robust methodical model,Ms Helen Stephens,Reference,1975,2,2016-03-24,Damaged,True
978-1-4393-9191-4,Synergized user-facing implementation,Miss Sally Wright,Young Adult,1950,1,2024-12-18,Available,True
978-1-209-52795-6,Profit-focused scalable infrastructure,Rosemary Fraser,Children,1989,10,2016-05-22,Missing,True
978-0-302-06822-9,Advanced fresh-thinking data-warehouse,Dr Leslie Pearson,Fiction,2009,10,2021-05-04,Damaged,True
978-1-9785-7523-3,Digitized homogeneous implementation,Christine Kelly,Non-Fiction,1973,6,2017-05-03,Available,True
9781205025517,Fully-configurable actuating open system,Dr Nicholas John,Reference,2004,8,2017-08-01,Reserved,True
978-1-9770-7034-0,Mandatory homogeneous conglomeration,Eleanor Evans,Young Adult,2015,8,2017-02-24,Missing,True
978-0-16-919575-5,Re-contextualized zero tolerance framework,Joyce Pearce,Reference,2003,1,2015-12-08,Available,True
978-1-906547-82-0,Robust client-server framework,Jill Richards,Reference,1993,10,2021-01-05,Missing,True
978-1-118-70074-7,Seamless zero administration task-force,Leon Barker,Young Adult,1975,5,2015-12-01,Missing,True
9780203155677,Persistent foreground contingency,Chelsea Chapman,Young Adult,2011,9,2021-12-23,Reserved,True
9781445076546,Persevering multi-tasking migration,Anthony Roberts,Non-Fiction,1974,6,2023-09-18,Reserved,True
978-1-75142-580-9,Proactive value-added frame,Tracy Clark,Children,2013,0,2015-10-18,Checked Out,True
978-1-360-01452-4,Front-line context-sensitive encryption,Dorothy Griffiths,Young Adult,1975,2,2018-08-31,Damaged,True
978-1-179-39538-8,Implemented content-based access,Alan Conway,Young Adult,2013,10,2018-10-27,Damaged,True
978-0-903514-90-3,Streamlined demand-driven data-warehouse,Sophie Smith,Children,2000,4,2017-09-25,Reserved,True
978-0-572-07311-4,Multi-lateral systematic task-force,Russell Jones-Morgan,Reference,2006,10,2022-08-15,Damaged,True
978-1-58263-016-8,Compatible motivating approach,Christine Stewart,Young Adult,1983,9,2022-07-01,Reserved,True
978-1-263-40547-4,Multi-channeled holistic archive,Dr Dorothy Reynolds,Young Adult,1960,5,2025-10-07,Reserved,True
